time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-13T11:36:21.920Z,35.6715,-97.41,6.58,4.1,mwr,98,39,0,0.13,ok,ok2024awva,2024-01-14T14:52:02.533Z,"6 km ENE of Edmond, Oklahoma",earthquake,,0.3,,46,reviewed,ok,us
2024-01-13T11:27:26.810Z,19.0653,-68.148,21,3.7,md,16,260,0.5988,0.39,pr,pr2024013001,2024-01-13T12:55:04.040Z,"59 km NNE of Punta Cana, Dominican Republic",earthquake,1.81,29.43,0.1,12,reviewed,pr,pr
2024-01-13T11:18:45.520Z,19.1580009460449,-155.481994628906,36.2900009155273,2.51999998,md,22,125,,0.129999995,hv,hv73715602,2024-01-13T11:36:43.040Z,"4 km S of Pāhala, Hawaii",earthquake,0.87,0.680000007,1.42999995,3,automatic,hv,hv
2024-01-13T11:04:20.820Z,18.9055,-65.8373,78,3.86,md,11,244,0.7635,0.54,pr,pr2024013000,2024-01-13T13:41:09.453Z,"52 km N of Suárez, Puerto Rico",earthquake,7.66,10.05,0.09,2,reviewed,pr,pr
2024-01-13T10:43:55.380Z,35.66533333,-97.3915,6.62,2.61,ml,92,38,0,0.13,ok,ok2024awth,2024-01-13T14:53:16.447Z,"5 km W of Arcadia, Oklahoma",earthquake,,0.3,0.22,40,reviewed,ok,ok
2024-01-13T09:08:16.499Z,-4.508,153.7106,10.24,5.2,mb,60,94,1.574,0.9,us,us6000m3hb,2024-01-13T09:25:23.040Z,"161 km E of Kokopo, Papua New Guinea",earthquake,10.12,4.766,0.054,113,reviewed,us,us
2024-01-13T08:38:50.450Z,18.8553333282471,-155.227661132812,10.3500003814697,2.53999996,md,33,261,,0.170000002,hv,hv73715562,2024-01-14T05:55:44.040Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.81,0.930000007,1.71000004,7,automatic,hv,hv
2024-01-13T08:26:21.958Z,-23.4102,-66.8213,214.792,4.5,mb,26,71,1.33,0.77,us,us6000m3h4,2024-01-13T09:03:14.040Z,"103 km NNW of San Antonio de los Cobres, Argentina",earthquake,8.49,11.091,0.221,6,reviewed,us,us
2024-01-13T06:55:59.923Z,43.6931,144.2781,10.001,4.5,mb,29,152,1.29,0.28,us,us6000m3gz,2024-01-13T07:34:34.040Z,"20 km E of Honchō, Japan",earthquake,6.81,3.093,0.136,16,reviewed,us,us
2024-01-13T06:07:26.634Z,56.3858,-135.6909,10,2.6,ml,22,164,0.703,0.83,us,us6000m3gu,2024-01-13T08:47:05.411Z,"66 km WNW of Port Alexander, Alaska",earthquake,5.12,1.487,0.077,22,reviewed,us,us
2024-01-13T05:25:33.312Z,13.8772,-90.9687,57.186,4.3,mb,24,182,0.795,0.67,us,us6000m3g6,2024-01-13T19:37:01.048Z,"16 km WSW of Puerto San José, Guatemala",earthquake,7.76,10.939,0.154,12,reviewed,us,us
2024-01-13T05:18:33.300Z,59.955,-151.4366,64.2,2.7,ml,,,,0.73,ak,ak024ll2lwi,2024-01-13T07:30:55.650Z,"16 km E of Happy Valley, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-01-13T04:47:19.231Z,24.4739,124.0963,55.039,4.7,mb,56,69,0.157,0.79,us,us6000m3fz,2024-01-13T05:09:31.040Z,"15 km NNW of Ishigaki, Japan",earthquake,6.53,4.543,0.061,84,reviewed,us,us
2024-01-13T04:28:32.532Z,31.317,-103.047,2.4611,2.8,ml,11,109,0,0.7,tx,tx2024awgx,2024-01-13T13:42:13.061Z,"8 km NNE of Coyanosa, Texas",earthquake,0,2.208018502,0.1,9,automatic,tx,tx
2024-01-13T04:04:46.880Z,35.66333333,-97.3925,6.58,2.54,ml,96,40,0,0.14,ok,ok2024awgc,2024-01-13T14:14:37.240Z,"5 km W of Arcadia, Oklahoma",earthquake,,0.3,0.19,40,reviewed,ok,ok
2024-01-13T03:46:28.449Z,35.66583333,-97.39816667,6.71,4.26,mwr,96,21,0,0.14,ok,ok2024awfn,2024-01-14T16:00:45.335Z,"6 km W of Arcadia, Oklahoma",earthquake,,0.3,,48,reviewed,ok,us
2024-01-13T03:37:28.469Z,35.66566667,-97.3915,6.5,3.16,ml,94,39,0,0.14,ok,ok2024awff,2024-01-14T02:43:33.451Z,"5 km W of Arcadia, Oklahoma",earthquake,,0.2,0.22,40,reviewed,ok,ok
2024-01-13T02:58:38.268Z,36.2812,23.0326,39.485,4.4,mb,86,146,1.262,0.95,us,us6000m3fc,2024-01-13T22:06:32.040Z,"15 km NNE of Kýthira, Greece",earthquake,8.57,9.049,0.076,49,reviewed,us,us
2024-01-13T02:38:43.890Z,-20.133,-178.4442,581.994,4.8,mb,82,30,3.205,0.92,us,us6000m3fa,2024-01-13T03:07:17.040Z,"Fiji region",earthquake,9,6.375,0.032,302,reviewed,us,us
2024-01-13T01:28:51.327Z,51.0881,-179.0425,40.84,4.3,mb,54,200,1.081,0.75,us,us6000m3f3,2024-01-13T02:21:19.040Z,"188 km WSW of Adak, Alaska",earthquake,6.23,6.944,0.079,47,reviewed,us,us
2024-01-13T01:27:23.317Z,71.4753,-4.0423,10,4.8,mb,91,66,5.933,0.68,us,us6000m3f2,2024-01-13T01:55:49.040Z,"179 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,6.61,1.83,0.052,117,reviewed,us,us
2024-01-13T00:05:22.849Z,52.2172,-169.9849,35,3.2,ml,12,314,0.592,0.42,us,us6000m3fb,2024-01-14T06:02:37.040Z,"110 km SW of Nikolski, Alaska",earthquake,7.12,2.028,0.128,8,reviewed,us,us
2024-01-13T00:03:19.510Z,18.0243333333333,-67.9385,18.06,3.35,md,12,318,0.5647,0.27,pr,pr71436763,2024-01-13T00:33:10.430Z,"78 km SE of Punta Cana, Dominican Republic",earthquake,8.74,17.38,0.139603664846659,7,reviewed,pr,pr
2024-01-12T22:32:09.234Z,-22.9305,-174.5575,10,5.4,mww,47,119,1.852,0.73,us,us6000m3e5,2024-01-13T22:36:25.611Z,"180 km SSE of ‘Ohonua, Tonga",earthquake,8.2,1.895,0.093,11,reviewed,us,us
2024-01-12T22:11:53.290Z,63.8967,-148.9351,0,2.5,ml,,,,0.58,ak,ak024k7m66d,2024-01-13T02:51:20.612Z,"4 km NNE of Healy, Alaska",explosion,,0,,,reviewed,ak,ak
2024-01-12T19:27:26.013Z,63.5669,-150.8315,7.4,2.8,ml,,,,0.57,ak,ak024k5x8rd,2024-01-12T21:38:59.040Z,"44 km E of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-01-12T19:04:30.150Z,37.1877,136.8201,3.923,4.3,mwr,131,44,1.282,0.93,us,us6000m3d5,2024-01-13T15:22:09.385Z,"8 km SW of Anamizu, Japan",earthquake,4.22,3.977,0.073,18,reviewed,us,us
2024-01-12T18:49:10.238Z,-18.1607,-177.9075,614.927,4.5,mb,58,42,3.742,0.61,us,us6000m3d1,2024-01-12T19:38:31.040Z,"293 km E of Levuka, Fiji",earthquake,13.5,7.033,0.07,61,reviewed,us,us
2024-01-12T18:12:14.009Z,56.6483,-157.8081,127.7,2.8,ml,,,,1.17,ak,ak024k58khk,2024-01-12T18:51:19.040Z,"53 km NE of Chignik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-01-12T18:06:08.796Z,60.523,-152.853,140.4,2.7,ml,,,,0.73,ak,ak024k579o6,2024-01-12T18:42:26.040Z,"84 km NW of Ninilchik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-01-12T17:47:30.849Z,29.5834,81.202,27.892,4.1,mb,21,169,3.998,0.57,us,us6000m3ct,2024-01-12T18:21:34.040Z,"43 km NE of Dipayal, Nepal",earthquake,12.57,6.318,0.165,13,reviewed,us,us
2024-01-12T17:21:37.987Z,45.7218,-112.1572,11.918,3.3,ml,46,36,0.229,0.5,us,us6000m3cp,2024-01-14T05:36:10.381Z,"17 km SSW of Whitehall, Montana",earthquake,1.92,7.214,0.042,76,reviewed,us,us
2024-01-12T16:24:46.170Z,36.6896667,-121.319,2.73,2.96,ml,67,80,0.02836,0.12,nc,nc73988266,2024-01-13T02:27:22.698Z,"11 km S of Tres Pinos, CA",earthquake,0.17,0.38,0.175,58,reviewed,nc,nc
2024-01-12T15:58:02.781Z,32.2557,141.801,27.236,4.6,mb,34,136,1.882,0.43,us,us6000m3cb,2024-01-12T16:47:59.040Z,"Izu Islands, Japan region",earthquake,12.42,6.17,0.095,33,reviewed,us,us
2024-01-12T15:24:31.590Z,20.3621,94.0045,36.006,4.5,mb,26,119,1.197,1.16,us,us6000m3a4,2024-01-12T16:38:56.040Z,"91 km W of Yenangyaung, Myanmar",earthquake,10.35,8.722,0.115,22,reviewed,us,us
2024-01-12T13:00:49.456Z,-17.0963,-72.7174,77.538,5.3,mww,73,138,2.595,1.06,us,us6000m39t,2024-01-13T13:09:29.069Z,"51 km SW of Quilca, Peru",earthquake,5.87,6.858,0.056,31,reviewed,us,us
